Date,series ,OPEN,HIGH,LOW,close
1-Feb-21,EQ,596,599.4,579.6,590.15
29-Jan-21,EQ,568,600,554.1,586.2
28-Jan-21,EQ,554.9,574.5,550.4,564.35
27-Jan-21,EQ,585.9,585.9,563.75,569.8
25-Jan-21,EQ,577.1,594,567,586.4
22-Jan-21,EQ,582.9,586.95,570.6,575.2
21-Jan-21,EQ,598,598.75,580.65,582.9
20-Jan-21,EQ,601.2,603.6,592.95,594.7
19-Jan-21,EQ,586.9,603,583.35,596.55
18-Jan-21,EQ,604.1,607.35,578.45,581.45
15-Jan-21,EQ,609,616.8,598.1,604.3
14-Jan-21,EQ,602.3,611.65,596.4,607.05
13-Jan-21,EQ,611,614.5,597.25,602.3
12-Jan-21,EQ,621,623.9,607.05,609.65
11-Jan-21,EQ,623.7,628,614.05,621
8-Jan-21,EQ,607,622.8,604,620.8
7-Jan-21,EQ,606.05,608,598,601.9
6-Jan-21,EQ,604.1,610.95,596.15,605.3
5-Jan-21,EQ,608.45,608.7,600,603.45
4-Jan-21,EQ,600,609.45,595.2,604.4
1-Jan-21,EQ,592.5,599.75,585.85,596.25
31-Dec-20,EQ,584.65,594.9,582.05,592.35
30-Dec-20,EQ,595,595,581.5,584
29-Dec-20,EQ,589.8,596,583.15,590.6
28-Dec-20,EQ,599,599.45,584.55,586.95
24-Dec-20,EQ,574.6,595,572.15,590.45
23-Dec-20,EQ,570,576.55,566.1,574.6
22-Dec-20,EQ,553,571.1,540.4,568.3
21-Dec-20,EQ,573.8,585.9,539.7,552.55
18-Dec-20,EQ,574,576.9,568,575
17-Dec-20,EQ,579.5,586.3,569.7,571.35
16-Dec-20,EQ,571,578.5,571,576.6
15-Dec-20,EQ,575,580,569,571.65
14-Dec-20,EQ,568.35,578.65,568.35,576.25
11-Dec-20,EQ,567.9,572.95,562,568.1
10-Dec-20,EQ,570,574.75,560.1,565.2
9-Dec-20,EQ,571,583.95,566.7,569.55
8-Dec-20,EQ,582,582,565.8,568.7
7-Dec-20,EQ,570.35,591.5,567.05,582.3
4-Dec-20,EQ,550,572.9,545.2,569.05
3-Dec-20,EQ,550,551.45,541,548.25
2-Dec-20,EQ,540.9,547,536,544.65
1-Dec-20,EQ,518,542.75,512.65,539.35
27-Nov-20,EQ,514,520.8,509.2,511.65
26-Nov-20,EQ,506,513,502.3,511.7
25-Nov-20,EQ,521.2,526,504.15,506.2
24-Nov-20,EQ,513.5,522.75,508.2,520.15
23-Nov-20,EQ,504,516.4,501,512.85
20-Nov-20,EQ,510,512.5,496,503.25
19-Nov-20,EQ,512,516.15,505,507.35
18-Nov-20,EQ,514,518.35,509,513
17-Nov-20,EQ,517,523.4,514.05,518.4
14-Nov-20,EQ,511,515.5,510.2,514
13-Nov-20,EQ,511.95,515.8,504.55,508.45
12-Nov-20,EQ,503.95,517.7,502.2,509.25
11-Nov-20,EQ,495,508.35,492,506.05
10-Nov-20,EQ,511,514.25,489,490.9
9-Nov-20,EQ,512.5,518,504.45,510.15
6-Nov-20,EQ,515,515.75,506.75,509.15
5-Nov-20,EQ,508,514,502.5,512.5
4-Nov-20,EQ,499.9,518.25,495.15,504.65
3-Nov-20,EQ,472.05,490.6,465.75,485.6
2-Nov-20,EQ,467.9,471,459.05,469.4
30-Oct-20,EQ,458.65,469,455.85,465.75
29-Oct-20,EQ,463,464,452.25,456.35
28-Oct-20,EQ,473,475.75,461.4,463.4
27-Oct-20,EQ,474.6,476.75,467.25,470.45
26-Oct-20,EQ,487.4,487.4,471.1,474.5
23-Oct-20,EQ,488,494.5,482.9,484.5
22-Oct-20,EQ,491.2,491.4,481.7,485.55
21-Oct-20,EQ,489,492.2,481.5,490.2
20-Oct-20,EQ,484.95,488.55,480.4,486.35
19-Oct-20,EQ,489.95,490.9,480.9,483.65
16-Oct-20,EQ,491,494.75,485.25,486.9
15-Oct-20,EQ,504.7,504.7,489,490.3
14-Oct-20,EQ,503.15,507.5,493.3,502.2
13-Oct-20,EQ,514,519.95,501.6,503.15
12-Oct-20,EQ,514.9,517.35,509.3,513.9
9-Oct-20,EQ,525,529.3,511.05,512.9
8-Oct-20,EQ,514.6,526,511.75,524.1
7-Oct-20,EQ,516.1,522.9,509.2,511.75
6-Oct-20,EQ,526,527.6,519,521.05
5-Oct-20,EQ,507,525.1,503.8,523.1
1-Oct-20,EQ,505.1,510.5,501.3,506.9
30-Sep-20,EQ,508,516.2,498.3,500.45
29-Sep-20,EQ,517.85,517.85,504.5,506.15
28-Sep-20,EQ,495,512,488.5,510.1
25-Sep-20,EQ,496,496,483.85,489.65
24-Sep-20,EQ,497.5,501.25,483,485.8
23-Sep-20,EQ,520.5,521,498.25,502.9
22-Sep-20,EQ,509.5,515,493.6,508.85
21-Sep-20,EQ,523.8,528.25,499,503.65
18-Sep-20,EQ,517.45,535,515,523.35
17-Sep-20,EQ,516.8,521.9,510.5,512
16-Sep-20,EQ,510.15,520,503.4,518.5
15-Sep-20,EQ,498,512.4,496,506.4
14-Sep-20,EQ,505.55,509,494,495.8
11-Sep-20,EQ,507,512.35,502.6,505.55
10-Sep-20,EQ,512.7,516.7,503.65,507.95
9-Sep-20,EQ,497,512.8,493.6,509.3
8-Sep-20,EQ,512,517.65,498.65,501.9
7-Sep-20,EQ,516,518.2,504.25,513.25
4-Sep-20,EQ,518,530.4,508.25,512.45
3-Sep-20,EQ,518.55,526.85,512.55,523.45
2-Sep-20,EQ,523.5,525.6,509.2,514.5
1-Sep-20,EQ,521.2,527.65,506.2,521.45
31-Aug-20,EQ,560.65,561,514.05,520.25
28-Aug-20,EQ,538.1,564.75,534.75,555.75
27-Aug-20,EQ,528.95,537,524.4,532.25
26-Aug-20,EQ,526.05,530,522.25,525.15
25-Aug-20,EQ,533.6,535.15,523.45,525.1
24-Aug-20,EQ,538.65,538.65,528.05,533.45
21-Aug-20,EQ,526.55,538.7,524.3,532.35
20-Aug-20,EQ,524.5,529.9,521.05,522.3
19-Aug-20,EQ,530,532.9,524.35,525.4
18-Aug-20,EQ,531.7,533.9,524.15,526
17-Aug-20,EQ,536.1,537.5,527,528.35
14-Aug-20,EQ,523.5,536,522,531.35
13-Aug-20,EQ,532.15,535.95,519.05,520.8
12-Aug-20,EQ,540.75,540.75,529.75,532.15
11-Aug-20,EQ,548,549.6,535.1,541.05
10-Aug-20,EQ,526,550.8,526,543.85
7-Aug-20,EQ,532.3,535.45,522.6,525.95
6-Aug-20,EQ,533.9,541.45,526.15,532.25
5-Aug-20,EQ,537.9,538,527.05,528.85
4-Aug-20,EQ,522,532.4,517.25,528.95
3-Aug-20,EQ,534.1,540.2,516.8,519.4
31-Jul-20,EQ,514.25,541,507.5,531.7
30-Jul-20,EQ,493.2,513.2,487.3,509.95
29-Jul-20,EQ,485.7,496.3,484.15,493
28-Jul-20,EQ,475.5,483.75,473.25,482.6
27-Jul-20,EQ,484.85,487.6,469,475.5
24-Jul-20,EQ,490,497.8,481.25,485.6
23-Jul-20,EQ,477.95,481.85,474.05,476
22-Jul-20,EQ,479.65,488,471.6,474.3
21-Jul-20,EQ,488,488.2,475,477.25
20-Jul-20,EQ,501.9,501.9,481.6,483.8
17-Jul-20,EQ,499.6,509.55,497.35,503.6
16-Jul-20,EQ,496,505.95,490.6,499.7
15-Jul-20,EQ,494.2,499.4,492.2,495.1
14-Jul-20,EQ,500,503.9,490.1,492.1
13-Jul-20,EQ,495,501.7,492.3,499.7
10-Jul-20,EQ,484.65,498.9,483.05,493.9
9-Jul-20,EQ,484.55,487.2,480.35,481.95
8-Jul-20,EQ,482.55,488,479.95,482.5
7-Jul-20,EQ,480,486,476.15,479.25
6-Jul-20,EQ,478,481.25,471.4,480.2
3-Jul-20,EQ,477,479.35,472,476.85
2-Jul-20,EQ,468,474.95,467.95,473
1-Jul-20,EQ,473.5,475.8,466.15,468.15
30-Jun-20,EQ,483.4,483.95,469.8,472.95
29-Jun-20,EQ,475.5,487.35,475,482
26-Jun-20,EQ,490.25,491,472.2,479.95
25-Jun-20,EQ,480.3,492.5,477,487.65
24-Jun-20,EQ,502,503.4,481,484.4
23-Jun-20,EQ,493.2,503,489.5,500.45
22-Jun-20,EQ,492.2,501.2,486,493.2
19-Jun-20,EQ,486.8,491.95,485.2,488.1
18-Jun-20,EQ,485.65,488.5,483,484.25
17-Jun-20,EQ,484.15,489.75,479.1,485.65
16-Jun-20,EQ,489.4,493.5,476.5,483.4
15-Jun-20,EQ,481,489.4,472.7,485.8
12-Jun-20,EQ,455,481.9,455,480.1
11-Jun-20,EQ,490,493.8,469.1,473.65
10-Jun-20,EQ,502.5,507,493.55,499.15
9-Jun-20,EQ,492,512.7,492,500.75
8-Jun-20,EQ,498.75,498.75,485.05,489
5-Jun-20,EQ,501,511,492.2,494.25
4-Jun-20,EQ,473,498,472.1,494.85
3-Jun-20,EQ,474.95,481.6,473,476.15
2-Jun-20,EQ,470,481,468.15,473.1
1-Jun-20,EQ,483.5,483.7,458.3,465.4
29-May-20,EQ,460,481.6,458,474.25
28-May-20,EQ,453.9,461.65,444.7,459.1
27-May-20,EQ,464.9,464.9,443.4,450.9
26-May-20,EQ,471,475.5,457,459.15
22-May-20,EQ,467,471.9,458.05,469.4
21-May-20,EQ,455.5,469,453,466.45
20-May-20,EQ,439.9,458.45,437.25,455.75
19-May-20,EQ,443.8,456,438.6,441.7
18-May-20,EQ,447,454.6,434.25,440.7
15-May-20,EQ,455.95,458.9,445.55,448.6
14-May-20,EQ,453,462.95,448.8,455.95
13-May-20,EQ,469,469.45,450.2,452.35
12-May-20,EQ,465,468.8,455.3,463.9
11-May-20,EQ,473.7,475.55,461.3,463.85
8-May-20,EQ,460,471.4,454.05,469
7-May-20,EQ,462,465.7,450.2,452.2
6-May-20,EQ,459.6,463,448,454.4
5-May-20,EQ,469.8,472.5,454,456.3
4-May-20,EQ,464.45,474.5,458,465.45
30-Apr-20,EQ,484,485,458.4,464.45
29-Apr-20,EQ,476,484.95,473.15,477.65
28-Apr-20,EQ,495,495.4,470.3,473.95
27-Apr-20,EQ,491,504.8,487,489.9
24-Apr-20,EQ,476.95,497,473.55,485.55
23-Apr-20,EQ,476.95,487.85,474.35,477.45
22-Apr-20,EQ,474.95,482.4,469,474.35
21-Apr-20,EQ,467.85,490.7,464.25,473.15
20-Apr-20,EQ,457.35,475,450.55,473.4
17-Apr-20,EQ,476.95,476.95,448.45,457.1
16-Apr-20,EQ,450,467.6,449.2,463.7
15-Apr-20,EQ,474.9,488.5,444.1,449.2
13-Apr-20,EQ,462.95,477.9,443.1,462.35
9-Apr-20,EQ,454.4,473.9,443.4,454.45
8-Apr-20,EQ,419,448.75,413.15,436.7
7-Apr-20,EQ,398,422.85,388.3,417.35
3-Apr-20,EQ,343.95,389.8,340,375.95
1-Apr-20,EQ,353,355.25,338.4,343.55
31-Mar-20,EQ,340.1,355,328.25,352.3
30-Mar-20,EQ,321.65,344,312,332.7
27-Mar-20,EQ,347,352.5,333,338.25
26-Mar-20,EQ,365,368,336.1,338.3
25-Mar-20,EQ,332,350.8,329.55,347.65
24-Mar-20,EQ,330,348,330,335.15
23-Mar-20,EQ,345,354.7,315.05,324.5
20-Mar-20,EQ,365.2,379.5,362.2,365.25
19-Mar-20,EQ,351.7,374.45,347.65,360.4
18-Mar-20,EQ,383.4,386.4,355.1,362.75
17-Mar-20,EQ,376,395.6,364.2,370.15
16-Mar-20,EQ,376,396.4,362.8,368.55
13-Mar-20,EQ,341,402.95,325,384.2
12-Mar-20,EQ,365.5,372.7,346.4,354.8
11-Mar-20,EQ,394.4,395.25,380.05,385.95
9-Mar-20,EQ,396.05,403.9,385.55,393.35
6-Mar-20,EQ,390.05,403.2,390.05,400.9
5-Mar-20,EQ,409.95,414.8,401.75,404.9
4-Mar-20,EQ,398,412.9,387.35,405.45
3-Mar-20,EQ,374,396.4,373.25,393.55
2-Mar-20,EQ,378,383.65,363.35,369.5
28-Feb-20,EQ,379.65,385.6,371.1,372.9
27-Feb-20,EQ,375,390.7,369.45,388.5
26-Feb-20,EQ,385.1,386.95,372.5,374.7
25-Feb-20,EQ,402.4,402.4,385.3,388.9
24-Feb-20,EQ,406.5,414.65,395.8,397.85
20-Feb-20,EQ,403.85,411.5,403.55,404.95
19-Feb-20,EQ,410.4,414.2,400.6,403.55
18-Feb-20,EQ,407,410.85,399.05,408.65
17-Feb-20,EQ,416.2,418.5,407.3,408.4
14-Feb-20,EQ,420,424.75,416.5,418.55
13-Feb-20,EQ,414.6,420.1,412,418.95
12-Feb-20,EQ,418.8,421.3,414,414.6
11-Feb-20,EQ,422,424.7,416.8,418.55
10-Feb-20,EQ,428.55,432.75,418.3,420.3
7-Feb-20,EQ,432,441.75,423.2,430.8
6-Feb-20,EQ,428.2,438,424,430.65
5-Feb-20,EQ,429.5,431.4,421.9,426.25
4-Feb-20,EQ,416.95,426.9,412.85,425.65
3-Feb-20,EQ,423.8,428.9,414,417.55
1-Feb-20,EQ,432.95,437.4,419.4,422.8
